Time,SpO2(%),Pulse Rate(bpm),Motion,SpO2 Reminder,PR Reminder,Unnamed: 6
"05:42:54AM Feb 7, 2022",97,71,0,0,0,
"05:42:58AM Feb 7, 2022",97,69,0,0,0,
"05:43:02AM Feb 7, 2022",97,76,0,0,0,
"05:43:06AM Feb 7, 2022",96,79,0,0,0,
"05:43:10AM Feb 7, 2022",96,77,0,0,0,
"05:43:14AM Feb 7, 2022",96,75,0,0,0,
"05:43:18AM Feb 7, 2022",96,69,0,0,0,
"05:43:22AM Feb 7, 2022",96,67,0,0,0,
"05:43:26AM Feb 7, 2022",97,75,0,0,0,
"05:43:30AM Feb 7, 2022",97,68,0,0,0,
"05:43:34AM Feb 7, 2022",97,70,0,0,0,
"05:43:38AM Feb 7, 2022",97,74,0,0,0,
"05:43:42AM Feb 7, 2022",97,66,0,0,0,
"05:43:46AM Feb 7, 2022",97,67,0,0,0,
"05:43:50AM Feb 7, 2022",96,75,0,0,0,
"05:43:54AM Feb 7, 2022",96,78,0,0,0,
"05:43:58AM Feb 7, 2022",97,72,0,0,0,
"05:44:02AM Feb 7, 2022",97,72,0,0,0,
"05:44:06AM Feb 7, 2022",97,73,0,0,0,
"05:44:10AM Feb 7, 2022",97,70,0,0,0,
"05:44:14AM Feb 7, 2022",97,69,0,0,0,
"05:44:18AM Feb 7, 2022",97,71,0,0,0,
"05:44:22AM Feb 7, 2022",97,75,0,0,0,
"05:44:26AM Feb 7, 2022",97,74,0,0,0,
"05:44:30AM Feb 7, 2022",97,78,0,0,0,
"05:44:34AM Feb 7, 2022",97,78,0,0,0,
"05:44:38AM Feb 7, 2022",97,75,0,0,0,
"05:44:42AM Feb 7, 2022",97,71,0,0,0,
"05:44:46AM Feb 7, 2022",97,74,0,0,0,
"05:44:50AM Feb 7, 2022",97,78,0,0,0,
"05:44:54AM Feb 7, 2022",97,70,0,0,0,
"05:44:58AM Feb 7, 2022",97,75,0,0,0,
"05:45:02AM Feb 7, 2022",97,79,0,0,0,
"05:45:06AM Feb 7, 2022",97,74,0,0,0,
"05:45:10AM Feb 7, 2022",97,70,0,0,0,
"05:45:14AM Feb 7, 2022",97,72,0,0,0,
"05:45:18AM Feb 7, 2022",97,71,0,0,0,
"05:45:22AM Feb 7, 2022",97,68,0,0,0,
"05:45:26AM Feb 7, 2022",96,70,0,0,0,
"05:45:30AM Feb 7, 2022",97,78,0,0,0,
"05:45:34AM Feb 7, 2022",97,80,0,0,0,
"05:45:38AM Feb 7, 2022",97,79,0,0,0,
"05:45:42AM Feb 7, 2022",97,73,0,0,0,
"05:45:46AM Feb 7, 2022",97,72,0,0,0,
"05:45:50AM Feb 7, 2022",97,70,0,0,0,
"05:45:54AM Feb 7, 2022",97,78,0,0,0,
"05:45:58AM Feb 7, 2022",97,74,0,0,0,
"05:46:02AM Feb 7, 2022",96,69,0,0,0,
"05:46:06AM Feb 7, 2022",97,73,0,0,0,
"05:46:10AM Feb 7, 2022",97,69,0,0,0,
"05:46:14AM Feb 7, 2022",97,71,0,0,0,
"05:46:18AM Feb 7, 2022",97,73,0,0,0,
"05:46:22AM Feb 7, 2022",97,70,0,0,0,
"05:46:26AM Feb 7, 2022",97,69,0,0,0,
"05:46:30AM Feb 7, 2022",97,63,0,0,0,
"05:46:34AM Feb 7, 2022",97,66,0,0,0,
"05:46:38AM Feb 7, 2022",97,72,0,0,0,
"05:46:42AM Feb 7, 2022",97,72,0,0,0,
"05:46:46AM Feb 7, 2022",97,73,0,0,0,
"05:46:50AM Feb 7, 2022",97,76,0,0,0,
"05:46:54AM Feb 7, 2022",97,74,0,0,0,
"05:46:58AM Feb 7, 2022",96,70,0,0,0,
"05:47:02AM Feb 7, 2022",96,71,0,0,0,
"05:47:06AM Feb 7, 2022",96,76,0,0,0,
"05:47:10AM Feb 7, 2022",97,80,0,0,0,
"05:47:14AM Feb 7, 2022",97,72,0,0,0,
"05:47:18AM Feb 7, 2022",97,80,0,0,0,
"05:47:22AM Feb 7, 2022",97,79,0,0,0,
"05:47:26AM Feb 7, 2022",97,77,0,0,0,
"05:47:30AM Feb 7, 2022",97,70,0,0,0,
"05:47:34AM Feb 7, 2022",97,71,0,0,0,
"05:47:38AM Feb 7, 2022",97,81,0,0,0,
"05:47:42AM Feb 7, 2022",97,74,0,0,0,
"05:47:46AM Feb 7, 2022",97,69,0,0,0,
"05:47:50AM Feb 7, 2022",97,74,0,0,0,
"05:47:54AM Feb 7, 2022",97,71,0,0,0,
"05:47:58AM Feb 7, 2022",97,71,0,0,0,
"05:48:02AM Feb 7, 2022",97,66,0,0,0,
"05:48:06AM Feb 7, 2022",97,69,0,0,0,
"05:48:10AM Feb 7, 2022",97,75,0,0,0,
"05:48:14AM Feb 7, 2022",97,67,0,0,0,
"05:48:18AM Feb 7, 2022",97,67,0,0,0,
"05:48:22AM Feb 7, 2022",97,74,0,0,0,
"05:48:26AM Feb 7, 2022",97,72,0,0,0,
"05:48:30AM Feb 7, 2022",97,66,0,0,0,
"05:48:34AM Feb 7, 2022",97,61,0,0,0,
"05:48:38AM Feb 7, 2022",97,66,0,0,0,
"05:48:42AM Feb 7, 2022",97,75,0,0,0,
"05:48:46AM Feb 7, 2022",97,77,0,0,0,
"05:48:50AM Feb 7, 2022",97,80,0,0,0,
"05:48:54AM Feb 7, 2022",97,79,0,0,0,
"05:48:58AM Feb 7, 2022",97,75,0,0,0,
"05:49:02AM Feb 7, 2022",97,75,0,0,0,
"05:49:06AM Feb 7, 2022",97,74,0,0,0,
"05:49:10AM Feb 7, 2022",97,76,0,0,0,
"05:49:14AM Feb 7, 2022",97,77,0,0,0,
"05:49:18AM Feb 7, 2022",97,73,0,0,0,
"05:49:22AM Feb 7, 2022",97,71,0,0,0,
"05:49:26AM Feb 7, 2022",96,70,0,0,0,
"05:49:30AM Feb 7, 2022",96,69,0,0,0,
"05:49:34AM Feb 7, 2022",97,70,0,0,0,
"05:49:38AM Feb 7, 2022",97,70,0,0,0,
"05:49:42AM Feb 7, 2022",97,72,0,0,0,
"05:49:46AM Feb 7, 2022",96,74,0,0,0,
"05:49:50AM Feb 7, 2022",96,73,0,0,0,
"05:49:54AM Feb 7, 2022",97,72,0,0,0,
"05:49:58AM Feb 7, 2022",97,70,0,0,0,
"05:50:02AM Feb 7, 2022",97,71,0,0,0,
"05:50:06AM Feb 7, 2022",96,73,0,0,0,
"05:50:10AM Feb 7, 2022",96,76,0,0,0,
"05:50:14AM Feb 7, 2022",97,83,0,0,0,
"05:50:18AM Feb 7, 2022",97,73,0,0,0,
"05:50:22AM Feb 7, 2022",97,69,0,0,0,
"05:50:26AM Feb 7, 2022",97,67,0,0,0,
"05:50:30AM Feb 7, 2022",97,69,0,0,0,
"05:50:34AM Feb 7, 2022",97,71,0,0,0,
"05:50:38AM Feb 7, 2022",97,71,0,0,0,
"05:50:42AM Feb 7, 2022",97,67,0,0,0,
"05:50:46AM Feb 7, 2022",97,71,0,0,0,
"05:50:50AM Feb 7, 2022",96,74,0,0,0,
"05:50:54AM Feb 7, 2022",97,76,0,0,0,
"05:50:58AM Feb 7, 2022",96,74,0,0,0,
"05:51:02AM Feb 7, 2022",96,69,0,0,0,
"05:51:06AM Feb 7, 2022",96,69,0,0,0,
"05:51:10AM Feb 7, 2022",97,68,0,0,0,
